image_path,class
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/000.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/001.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/002.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/003.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/004.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/005.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/006.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/007.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/008.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/009.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/010.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/011.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/012.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/013.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/014.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/015.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/016.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/017.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/018.png,bottle
/data/rrjha/AP/AdaCLIP_Denoiser/datasets/mvtec_anomaly_detection/bottle/test/broken_large/019.png,bottle
